Rank	Movie_name	Year	Certificate	Runtime_in_min	Genre	Metascore	Gross_in_$_M	Rating_from_10
85	Princess Mononoke	1997	PG-13	134	Animation, Action, Adventure	76	2.38	8.4
86	Braveheart	1995	R	178	Biography, Drama, History	68	75.6	8.4
87	Come and See	1985	Not Rated	142	Drama, Thriller, War		#95	8.4
88	Aliens	1986	R	137	Action, Adventure, Sci-Fi	84	85.16	8.4
89	Amadeus	1984	R	160	Biography, Drama, Music	88	51.97	8.4
90	Indiana Jones and the Raiders of the Lost Ark	1981	PG	115	Action, Adventure	85	248.16	8.4
91	The Boat	1981	R	149	Drama, War	86	11.49	8.4
92	The Shining	1980	R	146	Drama, Horror	66	44.02	8.4
93	High and Low	1963	Not Rated	143	Crime, Drama, Mystery	90	#87	8.4
94	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	PG	95	Comedy, War	97	0.28	8.4
95	Witness for the Prosecution	1957	Approved	116	Crime, Drama, Mystery	76	8.18	8.4
96	Paths of Glory	1957	Approved	88	Drama, War	90	#60	8.4
97	Sunset Blvd.	1950	Passed	110	Drama, Film-Noir		#59	8.4
98	The Great Dictator	1940	G	125	Comedy, Drama, War		0.29	8.4
99	Chhichhore	2019	Not Rated	143	Comedy, Drama, Romance		0.9	8.3
100	Raatchasan	2018	Not Rated	170	Crime, Drama, Mystery			8.3
